Language_Pair,Coefficient,t_statistic,p_value,Significant
Bengali-Malayalam,MFCC_1,5.024187285601617,5.385301918149072e-07,True
Bengali-Malayalam,MFCC_2,15.23105766027753,5.953272027343443e-51,True
Bengali-Malayalam,MFCC_3,8.770251234819442,2.595512737650729e-18,True
Bengali-Malayalam,MFCC_4,21.34840172145825,1.0794277203788614e-95,True
Bengali-Malayalam,MFCC_5,-22.910229409566192,2.6371151595089137e-109,True
Bengali-Malayalam,MFCC_6,57.31978489272249,0.0,True
Bengali-Malayalam,MFCC_7,84.03221801783009,0.0,True
Bengali-Malayalam,MFCC_8,-5.866282475947011,4.820797839710325e-09,True
Bengali-Malayalam,MFCC_9,34.53957640252943,3.542020566451937e-229,True
Bengali-Malayalam,MFCC_10,-7.842177205296439,5.868114972965172e-15,True
Bengali-Malayalam,MFCC_11,12.793171695560536,1.1640037150499025e-36,True
Bengali-Malayalam,MFCC_12,17.669445376116954,2.785650545235295e-67,True
Bengali-Malayalam,MFCC_13,12.588883552287818,1.1282624886417978e-35,True
Bengali-Hindi,MFCC_1,-6.2293811481361985,5.312755313796169e-10,True
Bengali-Hindi,MFCC_2,49.743889103178674,0.0,True
Bengali-Hindi,MFCC_3,-18.203330217653303,1.5685988446838737e-70,True
Bengali-Hindi,MFCC_4,19.808339267867886,2.5514202899454976e-83,True
Bengali-Hindi,MFCC_5,-9.707745143988808,5.462161312528848e-22,True
Bengali-Hindi,MFCC_6,22.34324648357499,3.474183020035295e-104,True
Bengali-Hindi,MFCC_7,29.514850499757287,1.5965373112508745e-173,True
Bengali-Hindi,MFCC_8,-18.96383638158354,1.6551082328333658e-76,True
Bengali-Hindi,MFCC_9,15.043038010433083,1.0576593955854962e-49,True
Bengali-Hindi,MFCC_10,-6.564758784396959,5.925148176200395e-11,True
Bengali-Hindi,MFCC_11,-4.211751182681011,2.5893738267000804e-05,True
Bengali-Hindi,MFCC_12,15.069296257189318,6.553203866553377e-50,True
Bengali-Hindi,MFCC_13,32.41299753110997,1.8478729088226983e-199,True
Malayalam-Hindi,MFCC_1,-18.30734581413576,8.265418180567971e-72,True
Malayalam-Hindi,MFCC_2,37.01520956688171,1.9387749464076057e-258,True
Malayalam-Hindi,MFCC_3,-27.18472512227917,1.1843107278974422e-145,True
Malayalam-Hindi,MFCC_4,-1.253720750373711,0.2100163102134883,False
Malayalam-Hindi,MFCC_5,17.99510418198021,3.2714878804436356e-69,True
Malayalam-Hindi,MFCC_6,-41.29829109425161,2.3327137648629164e-305,True
Malayalam-Hindi,MFCC_7,-56.09169266623385,0.0,True
Malayalam-Hindi,MFCC_8,-13.71237449176529,8.157212313988648e-42,True
Malayalam-Hindi,MFCC_9,-24.27151452956733,9.813556965692812e-121,True
Malayalam-Hindi,MFCC_10,3.6529263115649826,0.00026384459925747275,True
Malayalam-Hindi,MFCC_11,-15.961494011551718,1.8407791055506297e-55,True
Malayalam-Hindi,MFCC_12,-5.663211915889081,1.6038985389612234e-08,True
Malayalam-Hindi,MFCC_13,16.952389190137158,8.624540590667568e-62,True
